"","Category","Diff_Level","correct_gpt35","correct_gpt4","gpt.3.5.turbo_calc_time_s","gpt.3.5.turbo_calc_time_micro_s","question_length","X0","X1"
"1","Basic Neuroscience","Intermediate
(2nd quartile)",FALSE,TRUE,7,421972,79,-64.17635,46.797955
"2","Basic Neuroscience","Advanced
(3rd quartile)",TRUE,TRUE,39,883382,81,-52.14525,52.648197
"3","Basic Neuroscience","Advanced
(3rd quartile)",TRUE,TRUE,30,414662,232,13.717517,-7.6013727
"4","Basic Neuroscience","Intermediate
(2nd quartile)",TRUE,TRUE,8,4999,645,2.8942354,30.265478
"5","Epilepsy, Seizures","Easy
(1st quartile)",TRUE,TRUE,8,261843,678,-6.3997808,33.10285
"6","Epilepsy, Seizures","Difficult
(4th quartile)",TRUE,FALSE,13,65690,1421,5.5819116,54.66206
"7","Epilepsy, Seizures","Difficult
(4th quartile)",TRUE,TRUE,19,204368,598,2.5649056,61.400486
"8","Epilepsy, Seizures","Easy
(1st quartile)",FALSE,FALSE,20,639583,70,-6.8418727,51.929123
"9","Epilepsy, Seizures","Difficult
(4th quartile)",FALSE,FALSE,18,656682,913,10.6627445,42.07333
"10","Epilepsy, Seizures","Advanced
(3rd quartile)",FALSE,FALSE,7,24270,441,3.1422453,51.96627
"11","Ethics","Intermediate
(2nd quartile)",FALSE,FALSE,8,929135,299,-11.94924,-51.273884
"12","Ethics","Intermediate
(2nd quartile)",TRUE,TRUE,11,159875,479,-28.365875,-21.722002
"13","Ethics","Easy
(1st quartile)",FALSE,TRUE,4,309614,255,-11.563905,-34.835697
"14","Ethics","Advanced
(3rd quartile)",FALSE,TRUE,9,939445,492,-10.819886,-50.186867
"15","Basic Neuroscience","Intermediate
(2nd quartile)",TRUE,TRUE,8,831968,645,2.8956776,30.264568
"16","Ethics","Easy
(1st quartile)",TRUE,TRUE,7,291391,710,62.01371,6.704956
"17","Genetic","Intermediate
(2nd quartile)",TRUE,TRUE,7,144127,57,-20.726988,11.537372
"18","Genetic","Intermediate
(2nd quartile)",TRUE,TRUE,20,348264,565,5.5854616,19.87754
"19","Genetic","Difficult
(4th quartile)",TRUE,FALSE,13,44320,91,-44.193775,35.783054
"20","Genetic","Advanced
(3rd quartile)",TRUE,TRUE,15,332861,504,7.920842,20.988678
"21","Genetic","Intermediate
(2nd quartile)",TRUE,TRUE,8,47488,519,45.601776,-7.572611
"22","Genetic","Advanced
(3rd quartile)",TRUE,TRUE,3,994073,60,-19.995474,37.727806
"23","Genetic","Easy
(1st quartile)",TRUE,TRUE,4,324937,280,-1.5878255,31.327042
"24","Genetic","Advanced
(3rd quartile)",TRUE,TRUE,7,266315,680,5.078001,39.83754
"25","Genetic","Intermediate
(2nd quartile)",TRUE,TRUE,14,581944,562,67.711334,18.39481
"26","Basic Neuroscience","Difficult
(4th quartile)",FALSE,FALSE,8,639005,105,-50.67721,51.982178
"27","Genetic","Difficult
(4th quartile)",FALSE,FALSE,9,876289,739,2.632055,18.68179
"28","Genetic","Advanced
(3rd quartile)",TRUE,TRUE,6,730196,322,4.638961,24.175451
"29","Genetic","Advanced
(3rd quartile)",TRUE,TRUE,12,634872,543,68.84431,26.287518
"30","Genetic","Difficult
(4th quartile)",FALSE,TRUE,13,614201,77,-24.909754,10.716312
"31","Genetic","Intermediate
(2nd quartile)",TRUE,TRUE,8,689689,684,-33.870953,-18.34547
"32","Genetic","Difficult
(4th quartile)",FALSE,FALSE,11,623688,271,24.39663,36.289097
"33","Genetic","Easy
(1st quartile)",TRUE,TRUE,10,997014,42,-27.028395,12.879482
"34","Genetic","Intermediate
(2nd quartile)",FALSE,TRUE,9,285737,137,15.804951,44.504734
"35","Genetic","Advanced
(3rd quartile)",TRUE,TRUE,3,878987,69,-22.30112,16.91991
"36","Basic Neuroscience","Difficult
(4th quartile)",TRUE,TRUE,9,650002,74,-56.37657,59.3168
"37","Genetic","Difficult
(4th quartile)",TRUE,TRUE,5,876981,118,-46.226387,38.311577
"38","Genetic","Easy
(1st quartile)",TRUE,TRUE,8,429006,810,24.202099,-12.764867
"39","Headache","Difficult
(4th quartile)",FALSE,FALSE,9,138589,628,44.666615,-57.397476
"40","Headache","Intermediate
(2nd quartile)",TRUE,TRUE,9,987166,642,39.27687,-51.355682
"41","Headache","Easy
(1st quartile)",FALSE,TRUE,13,879626,1143,37.999355,-48.112453
"42","Headache","Difficult
(4th quartile)",FALSE,FALSE,5,408310,498,33.825813,-56.983456
